City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,Zavetnoye,47.1194,43.8903,48.29,61,100,19.08,RU,2022-02-25 15:36:40
227,Moyale,3.5167,39.0584,81.23,31,100,10.89,KE,2022-02-25 15:36:41
228,Vila Franca Do Campo,37.7167,-25.4333,61.21,68,84,5.23,PT,2022-02-25 15:36:41
229,La Libertad,-2.2333,-80.9,78.46,78,0,6.91,EC,2022-02-25 15:37:41
230,Halifax,44.6453,-63.5724,17.6,64,100,3.44,CA,2022-02-25 15:35:51
231,Lengshuijiang,27.6881,111.4294,46.2,83,9,1.05,CN,2022-02-25 15:37:42
232,Sao Filipe,14.8961,-24.4956,68.85,79,19,14.63,CV,2022-02-25 15:37:42
233,Nouna,12.7333,-3.8667,101.25,4,8,7.61,BF,2022-02-25 15:37:43
234,Murgab,37.4966,61.9714,55.27,62,0,6.91,TM,2022-02-25 15:37:43
235,Launceston,-41.45,147.1667,56.8,76,8,9.22,AU,2022-02-25 15:37:43
236,Tonj,7.2737,28.6822,93.9,10,66,8.3,SS,2022-02-25 15:37:44
237,La Ronge,55.1001,-105.2842,3.45,72,20,9.22,CA,2022-02-25 15:37:44
238,Sisimiut,66.9395,-53.6735,-15.25,92,100,8.3,GL,2022-02-25 15:37:45
239,Coolum Beach,-26.5333,153.1,75.11,100,100,5.99,AU,2022-02-25 15:37:45
240,Edgewater,28.9889,-80.9023,81.19,78,40,10.36,US,2022-02-25 15:37:05
241,Jizan,17.3333,42.6667,83.34,65,0,7.05,SA,2022-02-25 15:37:45
242,Berestechko,50.3605,25.1107,41.0,85,100,8.75,UA,2022-02-25 15:37:46
243,Thunder Bay,48.4001,-89.3168,3.56,81,0,8.05,CA,2022-02-25 15:37:46
244,Gornopravdinsk,60.05,69.9,11.91,96,57,6.91,RU,2022-02-25 15:37:46
245,Shingu,33.7333,135.9833,35.91,76,2,6.38,JP,2022-02-25 15:37:47
246,Itaituba,-4.2761,-55.9836,84.36,79,75,5.75,BR,2022-02-25 15:37:47
247,Karratha,-20.7377,116.8463,88.3,72,39,7.96,AU,2022-02-25 15:37:47
248,Alofi,-19.0595,-169.9187,78.69,94,100,6.91,NU,2022-02-25 15:37:48
249,Clyde River,70.4692,-68.5914,-12.77,77,100,21.85,CA,2022-02-25 15:37:48
250,Asilah,35.465,-6.0348,64.36,67,50,17.31,MA,2022-02-25 15:37:48
251,Marsh Harbour,26.5412,-77.0636,74.61,66,5,12.46,BS,2022-02-25 15:33:25
252,Nakhon Phanom,17.3333,104.4167,61.43,71,6,6.96,TH,2022-02-25 15:37:49
253,Sept-Iles,50.2001,-66.3821,-1.68,50,20,8.05,CA,2022-02-25 15:33:02
254,Joplin,37.0842,-94.5133,19.85,72,0,5.75,US,2022-02-25 15:37:05
255,Vila Velha,-20.3297,-40.2925,83.95,76,20,14.97,BR,2022-02-25 15:37:50
256,Sobreira,41.5237,-7.8023,63.01,41,71,10.87,PT,2022-02-25 15:37:50
257,Cherskiy,68.75,161.3,-6.66,98,100,5.32,RU,2022-02-25 15:37:50
258,Ulladulla,-35.35,150.4667,67.1,94,100,5.01,AU,2022-02-25 15:37:51
259,San,13.3034,-4.8956,101.5,4,5,8.77,ML,2022-02-25 15:37:51
260,Yavaros,26.7,-109.5167,62.06,33,70,11.56,MX,2022-02-25 15:37:51
261,Westport,41.1415,-73.3579,34.83,92,100,11.5,US,2022-02-25 15:34:58
262,Husavik,66.0449,-17.3389,31.91,74,100,39.19,IS,2022-02-25 15:37:52
263,Krasnoselkup,65.7,82.4667,11.17,94,100,9.55,RU,2022-02-25 15:37:52
264,Cidreira,-30.1811,-50.2056,81.81,70,92,6.11,BR,2022-02-25 15:37:53
265,Praia,14.9215,-23.5087,75.74,57,40,27.63,CV,2022-02-25 15:37:53
266,Sitka,57.0531,-135.33,44.49,49,100,19.57,US,2022-02-25 15:37:53
267,Kingsport,36.5484,-82.5618,53.85,76,100,10.36,US,2022-02-25 15:37:54
268,Antofagasta,-23.65,-70.4,67.28,69,75,9.64,CL,2022-02-25 15:37:21
269,Souillac,-20.5167,57.5167,81.36,89,40,3.44,MU,2022-02-25 15:37:54
270,Kushiro,42.975,144.3747,25.84,81,4,7.87,JP,2022-02-25 15:37:55
271,Baijiantan,45.6333,85.1833,13.89,93,93,1.01,CN,2022-02-25 15:37:55
272,Constitucion,-35.3333,-72.4167,67.96,56,0,7.18,CL,2022-02-25 15:38:55
273,Delta,5.5,6.0,101.98,23,14,3.2,NG,2022-02-25 15:38:56
274,Kapit,2.0167,112.9333,72.68,99,93,0.89,MY,2022-02-25 15:38:56
275,Mae Ramat,16.984,98.5166,70.63,54,1,2.44,TH,2022-02-25 15:38:57
276,Nanortalik,60.1432,-45.2371,15.78,87,100,34.25,GL,2022-02-25 15:38:57
277,Belyy Yar,53.6039,91.3903,30.09,64,0,6.71,RU,2022-02-25 15:38:57
278,Seeboden,46.8219,13.495,39.61,85,100,4.07,AT,2022-02-25 15:38:58
279,Anadyr,64.75,177.4833,25.3,93,75,17.9,RU,2022-02-25 15:38:58
280,Puerto Ayacucho,5.6639,-67.6236,85.78,39,55,6.06,VE,2022-02-25 15:38:58
281,Talara,-4.5772,-81.2719,79.56,69,40,3.44,PE,2022-02-25 15:38:59
282,Ambon,-3.6954,128.1814,78.94,89,40,5.75,ID,2022-02-25 15:38:59
283,Nyagan,62.1406,65.3936,20.61,87,75,9.53,RU,2022-02-25 15:37:04
284,Yatou,37.15,122.3833,40.48,76,4,16.35,CN,2022-02-25 15:38:59
285,Arraial Do Cabo,-22.9661,-42.0278,85.96,70,40,10.36,BR,2022-02-25 15:39:00
286,Mayya,61.7333,130.2811,-7.69,95,100,9.26,RU,2022-02-25 15:39:00
287,Raga,8.4596,25.678,89.89,11,50,5.26,SS,2022-02-25 15:39:00
288,Saskylakh,71.9167,114.0833,-24.05,100,22,4.34,RU,2022-02-25 15:39:01
289,Paita,-5.0892,-81.1144,79.36,66,99,3.69,PE,2022-02-25 15:39:01
290,Mataundh,25.45,80.15,69.73,35,0,8.57,IN,2022-02-25 15:39:01
