City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Caucaia,BR,82.35,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
558,Chopda,IN,76.23,clear sky,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
566,Maiduguri,NG,78.15,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
567,Itaqui,BR,85.84,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
569,Puerto Narino,CO,80.55,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
570,Fayaoue,NC,82.0,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
572,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
577,Cockburn Town,TC,78.55,clear sky,21.4612,-71.1419,Osprey Beach Hotel
578,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
581,Pouebo,NC,81.77,overcast clouds,-20.4,164.5667,RIVÂT LODGE
588,Saint-Louis,SN,82.04,broken clouds,16.3333,-15.0,
589,Hobyo,SO,78.6,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
590,Kieta,PG,77.97,light rain,-6.2167,155.6333,Uruna Bay Retreat
594,Santiago Del Estero,AR,87.78,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
601,Buala,SB,81.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
602,Duncan,US,77.22,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
606,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
607,Axim,GH,78.85,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
609,Ayorou,NE,85.08,scattered clouds,14.7308,0.9174,Hotel Amenokal
610,Pasco,US,79.21,clear sky,28.292,-82.4165,Connection Community/Park
611,Salcedo,PH,75.69,scattered clouds,12.8105,121.4674,Yamaji Freeman Farm
614,Bom Jesus,BR,77.02,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
616,Pauini,BR,82.31,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
618,Abilene,US,76.5,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
620,Progreso,MX,82.51,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
622,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
631,Moranbah,AU,84.56,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
635,Tete,MZ,75.29,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
636,Gamba,GA,79.09,moderate rain,-2.65,10.0,
640,Soyo,AO,80.49,scattered clouds,-6.1349,12.3689,Hotel Mpampa
641,Imbituba,BR,77.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
645,Comodoro Rivadavia,AR,82.26,broken clouds,-45.8667,-67.5,Austral Hotel
655,San Jose,US,78.57,broken clouds,37.3394,-121.895,The Westin San Jose
659,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
666,Maningrida,AU,78.15,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
667,Dublin,US,75.61,clear sky,37.7021,-121.9358,Larkspur Landing Pleasanton
669,Tulagi,SB,80.44,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
671,Gorom-Gorom,BF,86.77,scattered clouds,14.4439,-0.2361,
673,Barra,BR,79.59,overcast clouds,-11.0894,-43.1417,Motel Albatroz
675,Omboue,GA,79.72,light rain,-1.5746,9.2618,Hotel Olako
678,Mattru,SL,77.04,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
680,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
